User ID,Route ID,Bike Region ID,Payment Plan,Start Hub,Start Area,Start Special Area,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Area,End Special Area,End Latitude,End Longitude,End Date,End Time,Member Type,Trip Type,Bike ID,Bike Name,Distance [Miles],Duration,Rental Access Path,Multiple Rental,Ride cost,Fees,Bonuses,Total cost
140988,6255505,,ABC Employees Monthly Plus Pass,VIRTUAL HUB - METROPOLITAN LIBRARY,Relay System,,33.7185316666667,-84.4076083333333,2018-04-09,18:58,,Relay System,,33.7296166666667,-84.4186166666667,2018-04-09,19:10,User,,11790,2597,1.31,00:11:57,keypad,true,0,0,0,0
281476,6261546,,,VIRTUAL HUB - METROPOLITAN LIBRARY,Relay System,,33.7186266666667,-84.4076716666667,2018-04-10,07:25,GSU ARTS & HUMANITIES BLDG,Relay System,,33.7541533333333,-84.3864183333333,2018-04-10,07:46,Admin,,11790,2597,3.47,00:20:52,keypad_rfid_card,true,0,0,0,0
140988,6255498,,ABC Employees Monthly Plus Pass,VIRTUAL HUB - METROPOLITAN LIBRARY,Relay System,,33.7186466666667,-84.40765,2018-04-09,18:57,,Relay System,,33.7295416666667,-84.418645,2018-04-09,19:09,User,,11744,2741,1.31,00:11:46,keypad,true,0,0,0,0
281476,6261528,,,VIRTUAL HUB - METROPOLITAN LIBRARY,Relay System,,33.7186583333333,-84.4076216666667,2018-04-10,07:22,GSU ARTS & HUMANITIES BLDG,Relay System,,33.7541783333333,-84.386305,2018-04-10,07:45,Admin,,12504,2776,3.47,00:22:10,keypad_rfid_card,true,0,0,0,0
721675,6245322,,PAY AS YOU GO,VIRTUAL HUB - METROPOLITAN LIBRARY,Relay System,,33.7187333333333,-84.4074916666667,2018-04-09,08:36,VIRTUAL HUB - METROPOLITAN LIBRARY,Relay System,,33.7186633333333,-84.4076383333333,2018-04-09,09:02,User,,12504,2776,1.58,00:26:42,keypad,false,0,0,0,0
136929,6212399,,,,Relay System,,33.72027,-84.4264166666667,2018-04-06,14:30,,Relay System,,33.7203916666667,-84.4263683333333,2018-04-06,15:01,Admin,,11789,2596,1.53,00:30:49,keypad,false,0,0,0,0
189836,6211765,,Partnerships,,Relay System,,33.72035,-84.42638,2018-04-06,13:43,,Relay System,,33.72035,-84.42632,2018-04-06,14:11,User,,11759,2565,1.36,00:27:42,keypad,false,0,0,0,0
189836,6210636,,Partnerships,,Relay System,,33.72036,-84.4263533333333,2018-04-06,12:33,,Relay System,,33.7203533333333,-84.4263783333333,2018-04-06,13:29,User,,10853,2640,0.48,00:55:30,keypad,false,0,0,0,0
136259,6176325,,ANNUAL PASS,,Relay System,,33.7244216666667,-84.412285,2018-04-03,20:14,,Relay System,,33.7243583333333,-84.4122933333333,2018-04-03,20:30,User,,13177,2958*,2.37,00:16:20,keypad_phone_number,false,0,0,0,0
281476,6261243,,,,Relay System,,33.72447,-84.41205,2018-04-10,06:47,MARTA - GARNETT,Relay System,,33.7497666666667,-84.3948283333333,2018-04-10,07:07,Admin,,11765,2572,5.27,00:20:35,keypad_rfid_card,false,0,0,0,0
136259,6391487,,ANNUAL PASS,,Relay System,,33.72459,-84.4119433333333,2018-04-18,11:07,CHEROKEE & WOODWARD,Relay System,,33.74568,-84.373325,2018-04-18,11:40,User,,11790,2597,3.65,00:33:02,keypad,false,0,0,0,0
281476,6371926,,,,Relay System,,33.7246016666667,-84.4119966666667,2018-04-17,09:05,WEST END STATION,Relay System,,33.7379733333333,-84.4174533333333,2018-04-17,09:14,Admin,,13769,2998,1.72,00:08:40,keypad_rfid_card,true,0,0,0,0
577521,6581667,,Bike Share Champions,,Relay System,,33.72512,-84.379855,2018-04-28,13:28,,Relay System,,33.75714,-84.3643566666667,2018-04-28,14:14,User,,12420,2789,3.32,00:45:27,keypad,false,0,0,0,0
281476,6456443,,,,Relay System,,33.72533,-84.38301,2018-04-21,15:30,WEST END STATION,Relay System,,33.737955,-84.4174933333333,2018-04-21,16:25,Admin,,12670,2907,5.93,00:54:58,keypad_rfid_card,false,0,0,0,0
577521,6453889,,Bike Share Champions,,Relay System,,33.725345,-84.383045,2018-04-21,13:45,,Relay System,,33.725345,-84.383045,2018-04-21,13:47,User,,12670,2907,0,00:01:10,keypad,false,0,0,0,0
577521,6453930,,Bike Share Champions,,Relay System,,33.725345,-84.383045,2018-04-21,13:47,,Relay System,,33.7253383333333,-84.3830433333333,2018-04-21,15:27,User,,12670,2907,2.55,01:39:29,keypad,false,0,0,0,0
281476,6456044,,,,Relay System,,33.7253966666667,-84.3831066666667,2018-04-21,15:14,,Relay System,,33.7253716666667,-84.383035,2018-04-21,15:16,Admin,,11790,2597,0,00:02:07,keypad,false,0,0,0,0
528206,6235336,,,,Relay System,,33.7256266666667,-84.4123983333333,2018-04-08,12:20,GSU MARTA,Relay System,,33.7508533333333,-84.3858483333333,2018-04-08,15:53,Admin,,12665,2912,11.42,03:32:45,keypad_rfid_card,false,0,0,0,0
281476,6262958,,,VIRTUAL HUB - PITTMAN REC CENTER,Relay System,,33.7287116666667,-84.3988566666667,2018-04-10,09:42,,Relay System,,33.7374,-84.408985,2018-04-10,09:53,Admin,,12424,1004,1.52,00:11:27,keypad_rfid_card,true,0,0,0,0
281476,6262956,,,VIRTUAL HUB - PITTMAN REC CENTER,Relay System,,33.7288083333333,-84.3986666666667,2018-04-10,09:42,,Relay System,,33.7373216666667,-84.409015,2018-04-10,09:54,Admin,,12708,2919,1.51,00:11:42,keypad_rfid_card,true,0,0,0,0
576474,6235563,,Bike Share Champions,,,,33.7288666666667,-84.3987716666667,2018-04-08,12:36,VIRTUAL HUB - PITTMAN REC CENTER,Relay System,,33.728805,-84.3987666666667,2018-04-08,16:02,User,,12424,1004,14.6,03:25:49,mobile,false,0,0,0,0
